NUMERO;OPERADOR
928000506;"SIN OPERADOR"
928000507;"SIN OPERADOR"
928000508;"SIN OPERADOR"
928000509;"SIN OPERADOR"
928000510;"SIN OPERADOR"
928000511;"SIN OPERADOR"
928000512;"SIN OPERADOR"
928000513;"SIN OPERADOR"
928000514;"SIN OPERADOR"
928000515;"SIN OPERADOR"
928000516;"SIN OPERADOR"
928000517;"SIN OPERADOR"
928000518;"SIN OPERADOR"
928000519;"Xtra Telecom S.A."
928000520;"SIN OPERADOR"
928000521;"SIN OPERADOR"
928000522;"SIN OPERADOR"
928000523;"SIN OPERADOR"
928000524;"SIN OPERADOR"
928000525;"SIN OPERADOR"
928000526;"SIN OPERADOR"
928000527;"SIN OPERADOR"
928000528;"SIN OPERADOR"
928000529;"SIN OPERADOR"
928000530;"AUNA Telecomunicaciones S.A.U."
928000531;"SIN OPERADOR"
928000532;"SIN OPERADOR"
928000533;"SIN OPERADOR"
928000534;"SIN OPERADOR"
928000535;"SIN OPERADOR"
928000536;"SIN OPERADOR"
928000537;"SIN OPERADOR"
928000538;"SIN OPERADOR"
928000539;"SIN OPERADOR"
928000540;"SIN OPERADOR"
928000541;"SIN OPERADOR"
928000542;"SIN OPERADOR"
928000543;"SIN OPERADOR"
928000544;"AUNA Telecomunicaciones S.A.U."
928000545;"SIN OPERADOR"
928000546;"SIN OPERADOR"
928000547;"SIN OPERADOR"
928000548;"SIN OPERADOR"
928000549;"SIN OPERADOR"
928000550;"SIN OPERADOR"
928000551;"SIN OPERADOR"
928000552;"SIN OPERADOR"
928000553;"France Telecom España"
928000554;"SIN OPERADOR"
928000555;"SIN OPERADOR"
928000556;"SIN OPERADOR"
928000557;"AUNA Telecomunicaciones S.A.U."
928000558;"SIN OPERADOR"
928000559;"SIN OPERADOR"
928000560;"Xtra Telecom S.A."
928000561;"SIN OPERADOR"
928000562;"SIN OPERADOR"
928000563;"SIN OPERADOR"
928000564;"SIN OPERADOR"
928000565;"SIN OPERADOR"
928000566;"SIN OPERADOR"
928000567;"SIN OPERADOR"
928000568;"SIN OPERADOR"
928000569;"SIN OPERADOR"
928000570;"SIN OPERADOR"
928000571;"SIN OPERADOR"
928000572;"SIN OPERADOR"
928000573;"SIN OPERADOR"
928000574;"SIN OPERADOR"
928000575;"SIN OPERADOR"
928000576;"SIN OPERADOR"
928000577;"SIN OPERADOR"
928000578;"SIN OPERADOR"
928000579;"SIN OPERADOR"
928000580;"SIN OPERADOR"
928000581;"SIN OPERADOR"
928000582;"SIN OPERADOR"
928000583;"SIN OPERADOR"
928000584;"SIN OPERADOR"
928000585;"AUNA Telecomunicaciones S.A.U."
928000586;"SIN OPERADOR"
928000587;"SIN OPERADOR"
928000588;"AUNA Telecomunicaciones S.A.U."
928000589;"SIN OPERADOR"
928000590;"SIN OPERADOR"
928000591;"SIN OPERADOR"
928000592;"SIN OPERADOR"
928000593;"SIN OPERADOR"
928000594;"SIN OPERADOR"
928000595;"SIN OPERADOR"
928000596;"SIN OPERADOR"
928000597;"SIN OPERADOR"
928000598;"SIN OPERADOR"
928000599;"SIN OPERADOR"
928000600;"SIN OPERADOR"
928000601;"SIN OPERADOR"
928000602;"SIN OPERADOR"
928000603;"SIN OPERADOR"
928000604;"SIN OPERADOR"
928000605;"SIN OPERADOR"
928000606;"SIN OPERADOR"
928000607;"SIN OPERADOR"
928000608;"SIN OPERADOR"
928000609;"SIN OPERADOR"
928000610;"SIN OPERADOR"
928000611;"SIN OPERADOR"
928000612;"SIN OPERADOR"
928000613;"SIN OPERADOR"
928000614;"SIN OPERADOR"
928000615;"SIN OPERADOR"
928000616;"SIN OPERADOR"
928000617;"SIN OPERADOR"
928000618;"SIN OPERADOR"
928000619;"AIRE NETWORKS DEL MEDITERRANEO, S.L.U."
928000620;"SIN OPERADOR"
928000621;"AUNA Telecomunicaciones S.A.U."
928000622;"SIN OPERADOR"
928000623;"SIN OPERADOR"
928000624;"SIN OPERADOR"
928000625;"SIN OPERADOR"
928000626;"SIN OPERADOR"
928000627;"SIN OPERADOR"
928000628;"SIN OPERADOR"
928000629;"AUNA Telecomunicaciones S.A.U."
928000630;"SIN OPERADOR"
928000631;"SIN OPERADOR"
928000632;"SIN OPERADOR"
928000633;"SIN OPERADOR"
928000634;"AUNA Telecomunicaciones S.A.U."
928000635;"SIN OPERADOR"
928000636;"SIN OPERADOR"
928000637;"SIN OPERADOR"
928000638;"SIN OPERADOR"
928000639;"SIN OPERADOR"
928000640;"SIN OPERADOR"
928000641;"SIN OPERADOR"
928000642;"SIN OPERADOR"
928000643;"SIN OPERADOR"
928000644;"SIN OPERADOR"
928000645;"SIN OPERADOR"
928000646;"SIN OPERADOR"
928000647;"SIN OPERADOR"
928000648;"SIN OPERADOR"
928000649;"SIN OPERADOR"
928000650;"SIN OPERADOR"
928000651;"SIN OPERADOR"
928000652;"SIN OPERADOR"
928000653;"SIN OPERADOR"
928000654;"SIN OPERADOR"
928000655;"SIN OPERADOR"
928000656;"SIN OPERADOR"
928000657;"SIN OPERADOR"
928000658;"SIN OPERADOR"
928000659;"SIN OPERADOR"
928000660;"SIN OPERADOR"
928000661;"SIN OPERADOR"
928000662;"SIN OPERADOR"
928000663;"SIN OPERADOR"
928000664;"SIN OPERADOR"
928000665;"SIN OPERADOR"
928000666;"SIN OPERADOR"
928000667;"SIN OPERADOR"
928000668;"SIN OPERADOR"
928000669;"SIN OPERADOR"
928000670;"SIN OPERADOR"
928000671;"SIN OPERADOR"
928000672;"SIN OPERADOR"
928000673;"SIN OPERADOR"
928000674;"SIN OPERADOR"
928000675;"SIN OPERADOR"
928000676;"SIN OPERADOR"
928000677;"SIN OPERADOR"
928000678;"SIN OPERADOR"
928000679;"SIN OPERADOR"
928000680;"SIN OPERADOR"
928000681;"SIN OPERADOR"
928000682;"SIN OPERADOR"
928000683;"SIN OPERADOR"
928000684;"SIN OPERADOR"
928000685;"SIN OPERADOR"
928000686;"SIN OPERADOR"
928000687;"SIN OPERADOR"
928000688;"SIN OPERADOR"
928000689;"SIN OPERADOR"
928000690;"SIN OPERADOR"
928000691;"SIN OPERADOR"
928000692;"SIN OPERADOR"
928000693;"SIN OPERADOR"
928000694;"SIN OPERADOR"
928000695;"SIN OPERADOR"
928000696;"SIN OPERADOR"
928000697;"SIN OPERADOR"
928000698;"SIN OPERADOR"
928000699;"SIN OPERADOR"
928000700;"SIN OPERADOR"
928000701;"SIN OPERADOR"
928000702;"SIN OPERADOR"
928000703;"SIN OPERADOR"
928000704;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000705;"SIN OPERADOR"
928000706;"SIN OPERADOR"
928000707;"SIN OPERADOR"
928000708;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000709;"SIN OPERADOR"
928000710;"SIN OPERADOR"
928000711;"SIN OPERADOR"
928000712;"SIN OPERADOR"
928000713;"SIN OPERADOR"
928000714;"SIN OPERADOR"
928000715;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000716;"SIN OPERADOR"
928000717;"SIN OPERADOR"
928000718;"SIN OPERADOR"
928000719;"SIN OPERADOR"
928000720;"SIN OPERADOR"
928000721;"SIN OPERADOR"
928000722;"SIN OPERADOR"
928000723;"SIN OPERADOR"
928000724;"SIN OPERADOR"
928000725;"SIN OPERADOR"
928000726;"SIN OPERADOR"
928000727;"SIN OPERADOR"
928000728;"SIN OPERADOR"
928000729;"SIN OPERADOR"
928000730;"SIN OPERADOR"
928000731;"SIN OPERADOR"
928000732;"SIN OPERADOR"
928000733;"SIN OPERADOR"
928000734;"SIN OPERADOR"
928000735;"SIN OPERADOR"
928000736;"SIN OPERADOR"
928000737;"SIN OPERADOR"
928000738;"SIN OPERADOR"
928000739;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000740;"SIN OPERADOR"
928000741;"SIN OPERADOR"
928000742;"SIN OPERADOR"
928000743;"SIN OPERADOR"
928000744;"SIN OPERADOR"
928000745;"SIN OPERADOR"
928000746;"SIN OPERADOR"
928000747;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000748;"SIN OPERADOR"
928000749;"SIN OPERADOR"
928000750;"SIN OPERADOR"
928000751;"SIN OPERADOR"
928000752;"SIN OPERADOR"
928000753;"SIN OPERADOR"
928000754;"SIN OPERADOR"
928000755;"SIN OPERADOR"
928000756;"SIN OPERADOR"
928000757;"SIN OPERADOR"
928000758;"SIN OPERADOR"
928000759;"SIN OPERADOR"
928000760;"SIN OPERADOR"
928000761;"SIN OPERADOR"
928000762;"SIN OPERADOR"
928000763;"SIN OPERADOR"
928000764;"SIN OPERADOR"
928000765;"SIN OPERADOR"
928000766;"SIN OPERADOR"
928000767;"SIN OPERADOR"
928000768;"SIN OPERADOR"
928000769;"SIN OPERADOR"
928000770;"SIN OPERADOR"
928000771;"SIN OPERADOR"
928000772;"SIN OPERADOR"
928000773;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000774;"SIN OPERADOR"
928000775;"SIN OPERADOR"
928000776;"SIN OPERADOR"
928000777;"SIN OPERADOR"
928000778;"SIN OPERADOR"
928000779;"SIN OPERADOR"
928000780;"SIN OPERADOR"
928000781;"SIN OPERADOR"
928000782;"SIN OPERADOR"
928000783;"SIN OPERADOR"
928000784;"SIN OPERADOR"
928000785;"SIN OPERADOR"
928000786;"SIN OPERADOR"
928000787;"SIN OPERADOR"
928000788;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000789;"SIN OPERADOR"
928000790;"SIN OPERADOR"
928000791;"SIN OPERADOR"
928000792;"SIN OPERADOR"
928000793;"SIN OPERADOR"
928000794;"SIN OPERADOR"
928000795;"SIN OPERADOR"
928000796;"SIN OPERADOR"
928000797;"SIN OPERADOR"
928000798;"SIN OPERADOR"
928000799;"SIN OPERADOR"
928000800;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000801;"SIN OPERADOR"
928000802;"SIN OPERADOR"
928000803;"SIN OPERADOR"
928000804;"SIN OPERADOR"
928000805;"SIN OPERADOR"
928000806;"SIN OPERADOR"
928000807;"SIN OPERADOR"
928000808;"SIN OPERADOR"
928000809;"SIN OPERADOR"
928000810;"SIN OPERADOR"
